logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,count,sca.t,sca.P.Value,sca.adj.pval,protein
7.343006109627886,26.27037858736724,11.052450071732292,5.562614354656732e-10,1.975840618774071e-6,12.164918810504242,K2C8,2,10.53380097103352,6.975467284609467e-10,2.4776859794932824e-6,KRT8
7.822195795375794,24.779899132616503,9.682615004572279,8.598198929569395e-9,1.5270401298915245e-5,9.768772268227263,K1C18,1,9.086439529565329,1.4165294811024105e-8,2.515756358437881e-5,KRT18
6.845848165907427,27.09265616212374,7.767409686025164,1.800849654362043e-7,2.132205990764659e-4,7.232558247540172,AGR2,2,7.638753347115357,1.6096048257841917e-7,1.905772113728483e-4,AGR2
4.526088692082546,22.7421216221013,6.7351788960045695,1.472258955497083e-6,0.0013073659524814097,5.340359238882385,OCAD2,1,6.186277945357683,3.7248850455744687e-6,0.002699053739227555,OCIAD2
4.046122070125033,23.05449676867172,6.307072373680945,3.668656159467485e-6,0.0026062133356857015,4.506433586972113,FKB11,3,6.177506528725335,3.7993436644532026e-6,0.002699053739227555,FKBP11
2.707654392803697,25.914123222585566,5.736673110235617,1.2834883298311187e-5,0.004589346271200671,3.3535423664731976,MLEC,8,5.951236286979843,6.350580807032845e-6,0.0037595438377634443,MLEC
3.221879162219839,24.80128826209473,5.574376640093098,1.8457451242724874e-5,0.005043143601089135,3.017471972759237,TAP2,8,5.765642850169552,9.720985898471054e-6,0.004932705987338455,TAP2
4.021803395898086,22.369925225780516,6.036109663506054,8.219998611191631e-6,0.004171062152421811,3.7631069677938997,PLOD3,2,5.69489975218568,1.3707970758489017e-5,0.005086308278844988,PLOD3
3.6796904132974824,24.46624764111202,5.729210923975761,1.305023805040905e-5,0.004589346271200671,3.3381640901893856,NCEH1,3,5.612119893797038,1.3863782666801551e-5,0.005086308278844988,NCEH1
3.9219893499100777,21.694387461729484,6.166028381702556,4.981792229776734e-6,0.002949221000027827,4.225653864951013,PLOD1,1,5.598183459988732,1.4319561595847377e-5,0.005086308278844988,PLOD1
2.993200204436807,26.129862819163982,5.335455179336229,3.167133005229623e-5,0.007268907811459305,2.516911298498451,GMDS,8,5.520543736298094,1.7153241096410085e-5,0.005531939372209305,GMDS
3.95498524574084,23.86343321734823,5.874935999226331,1.1590831741472031e-5,0.004589346271200671,3.449393768269812,ISG15,2,5.551933462605315,1.8915023325522162e-5,0.005531939372209305,ISG15
3.520365757567248,24.952011731819425,5.411911863647281,2.6628700374207763e-5,0.0067560816949418555,2.677814138263857,ABHDB,4,5.418398929611696,2.1772219148098283e-5,0.005531939372209305,ABHD11
3.2064743630410355,25.894551274864817,5.222865092613043,4.0928534974433024e-5,0.007268907811459305,2.2788047233226987,TAP1,9,5.4177790176952865,2.1803815093167303e-5,0.005531939372209305,TAP1
2.8258617358503706,24.84649325536882,5.133187134599662,5.024454535967476e-5,0.007528511589689096,2.08821678755136,SF3A3,11,5.369529188718701,2.4411743792823624e-5,0.005780700930140634,SF3A3
-3.02419256920874,27.541997117640516,-5.060458753534322,5.936674374950226e-5,0.008048725599592313,1.933078158363939,PRELP,10,-5.26740060881303,3.1028134445119536e-5,0.006293399615256881,PRELP
2.8152674871765484,28.10234409659682,5.008819882617558,6.685041277118499e-5,0.00818802297114652,1.822631283681373,PDIA4,28,5.258984918685071,3.164871662679749e-5,0.006293399615256881,PDIA4
3.90536599540183,23.726422045877328,5.301574752966406,4.0352374464184754e-5,0.007268907811459305,2.304311818225094,SC24D,4,5.321968375511113,3.189222778001798e-5,0.006293399615256881,SEC24D
-5.414805600884552,26.66270123956156,-5.084014750480661,5.624120311157992e-5,0.007990750138093276,1.9833802620116874,LEG7,4,-5.1749131772069275,3.8584654568543304e-5,0.006321254575280402,LGALS7
3.8312892036906945,23.034373865051993,5.613963286008957,1.6887696892629764e-5,0.00499875828021841,3.0997509287872926,GNS,1,5.172339607061287,3.8819770589696215e-5,0.006321254575280402,GNS
5.176024481857798,24.763671377922005,5.288196183272184,3.526509942526572e-5,0.007268907811459305,2.417132052482307,DMBT1,1,5.139369859396801,4.196360444010643e-5,0.006321254575280402,DMBT1
2.786203742123636,22.853585367046183,5.690994639970624,1.421250252905613e-5,0.004589346271200671,3.259293905747695,BUD31,2,5.12859050612595,4.3046525556267174e-5,0.006321254575280402,BUD31
-7.253920020966376,25.717525298238076,-4.970226550316228,7.306339997420679e-5,0.008650706556946084,1.739934004284195,SPRR3,10,-5.120835292967196,4.3843122017440057e-05,0.006321254575280402,SPRR3
2.6052814769942003,25.354231149232156,4.852590825938226,9.586191839921269e-5,0.009024179559051352,1.487111594439007,SF3B1,25,5.115143791598945,4.443723375535826e-5,0.006321254575280402,SF3B1
2.65430961762452,25.86114987491125,4.866457242155287,9.283684029398995e-5,0.009024179559051352,1.5169694523077135,TFR1,12,5.103309749020552,4.569879960917985e-5,0.006321254575280402,TFRC
3.6182765009001514,23.60968788532795,5.166032271481322,4.660502984461384e-5,0.007528511589689096,2.158113690853199,IMA1,3,5.0980560703263915,4.627044452626421e-5,0.006321254575280402,KPNA2
